Epoch,Train_Loss,Test_Loss
0,362.7459350585938,145.33020401000977
1,361.7966003417969,145.29438400268555
2,360.08212890625,144.79150390625
3,360.6865966796875,143.9192352294922
4,359.8197509765625,143.25774765014648
5,359.58709716796875,142.60910415649414
6,359.61741333007814,142.43762588500977
7,359.49620361328124,142.30050659179688
8,357.99139404296875,142.32314682006836
9,358.81390380859375,142.5063819885254
10,358.72576904296875,142.09704208374023
11,357.0254211425781,142.13187789916992
12,357.4781799316406,141.8922996520996
13,355.759033203125,141.84601593017578
14,357.2963806152344,141.9336929321289
15,354.80462036132815,141.8285026550293
16,355.5377502441406,141.71149826049805
17,356.1011047363281,141.8151512145996
18,354.4407592773438,141.63353729248047
19,353.84326171875,141.9855613708496
20,353.8274353027344,142.0395965576172
21,353.0260375976562,142.02717971801758
22,353.3274658203125,141.9170799255371
23,352.3280517578125,141.8097915649414
24,352.10487060546876,141.59587478637695
25,351.781591796875,141.60004806518555
26,351.4587768554687,141.76488494873047
27,351.60455322265625,141.82061386108398
28,351.509765625,141.20111083984375
29,350.66322021484376,140.90815353393555
30,349.4374633789063,141.02846145629883
31,349.3193420410156,140.96038055419922
32,348.9370849609375,141.12875747680664
33,348.60361328125,141.70849227905273
34,348.80645141601565,141.4066162109375
35,348.39080810546875,141.26749801635742
36,346.6912414550781,141.37857055664062
37,347.3767028808594,141.4864501953125
38,347.4230651855469,141.65651321411133
39,346.4571960449219,141.41116333007812
40,345.5873229980469,141.17403030395508
41,344.14231567382814,141.31135940551758
42,343.95142822265626,141.07010650634766
43,343.98749389648435,141.1006622314453
44,344.04697265625,141.2912712097168
45,342.742626953125,141.03179550170898
46,344.8317626953125,141.09843826293945
47,342.25611572265626,140.85414123535156
48,341.6055541992188,141.10464096069336
49,341.4086669921875,141.01034545898438
50,340.6596252441406,141.11863708496094
51,341.2943115234375,141.14562606811523
52,340.6059936523437,141.00197982788086
53,339.599951171875,141.0384979248047
54,339.81537475585935,140.85898971557617
55,338.9997619628906,140.99707794189453
56,338.67811279296876,141.16299057006836
57,339.76222534179686,141.06704330444336
58,338.10573120117186,141.14895629882812
59,336.351953125,141.00275802612305
60,337.90203247070315,140.7593536376953
61,336.0990844726563,140.63963317871094
62,336.46453857421875,140.4436378479004
63,334.73015747070315,140.5937728881836
64,334.96906127929685,140.30646514892578
65,335.87700805664065,140.1839256286621
66,333.9077209472656,140.34269332885742
67,333.3495300292969,140.40463256835938
68,332.7994750976562,140.4337158203125
69,333.77207641601564,140.06727981567383
70,332.1906311035156,140.33723068237305
71,332.5701965332031,140.2209358215332
72,332.59921875,139.65514373779297
73,331.29754638671875,139.73955917358398
74,331.9831848144531,140.30380249023438
75,330.77296142578126,140.0560188293457
76,329.9377807617187,140.0550193786621
77,329.6666748046875,140.11761093139648
78,329.85313720703124,139.77619552612305
79,329.44281005859375,139.71857070922852
80,328.2576416015625,140.03116607666016
81,327.8161193847656,140.1349868774414
82,326.88364868164064,139.93553161621094
83,326.31962890625,140.01534271240234
84,326.3456115722656,139.9124526977539
85,325.00840454101564,139.8902244567871
86,324.8106750488281,139.6724853515625
87,324.8518310546875,139.6058807373047
88,324.4154846191406,139.44882583618164
89,324.6602355957031,139.66506576538086
90,324.3768798828125,139.8698501586914
91,323.3656005859375,139.9605598449707
92,322.2788543701172,139.01193618774414
93,322.61689453125,139.02769088745117
94,321.3970062255859,138.74367904663086
95,323.63556213378905,138.75461196899414
96,320.98401794433596,138.67987442016602
97,321.64683837890624,138.80868530273438
98,320.6380187988281,138.91471481323242
99,318.8387481689453,139.01350784301758
100,319.0465545654297,138.2820816040039
101,318.2657867431641,138.9087677001953
102,318.2137908935547,138.73456192016602
103,317.89715576171875,139.25776290893555
104,318.7738006591797,138.94513320922852
105,317.76255493164064,138.81215286254883
106,315.5119964599609,138.56873321533203
107,316.9966613769531,138.06919479370117
108,314.5065063476562,138.7924690246582
109,315.6809112548828,138.79325485229492
110,314.84949645996096,138.40056228637695
111,315.5869903564453,138.49080657958984
112,313.01136169433596,138.68603897094727
113,313.71591796875,138.3742332458496
114,313.4919677734375,138.35956954956055
115,313.787548828125,138.42493057250977
116,314.50339965820314,138.58840560913086
117,315.9576751708984,138.4924659729004
118,311.5790252685547,138.1278953552246
119,311.0054595947266,138.3100471496582
120,313.1525848388672,137.6413345336914
121,309.6485992431641,137.70037078857422
122,309.3186004638672,137.6922378540039
123,309.7277893066406,137.7795066833496
124,308.19911193847656,137.3877716064453
125,309.3751922607422,137.6039276123047
126,306.72118225097654,137.08349227905273
127,307.5188385009766,137.38189315795898
128,305.9120697021484,137.34954833984375
129,305.37074890136716,137.61428451538086
130,305.3443939208984,137.57164001464844
131,305.28163757324216,137.35988235473633
132,303.94508056640626,137.67961502075195
133,306.42088623046874,136.83513259887695
134,303.24810180664065,136.69014358520508
135,303.98077087402345,136.8522834777832
136,304.70842895507815,136.53973388671875
137,303.24583129882814,136.0013656616211
138,302.4036590576172,136.7957878112793
139,302.4845458984375,137.1466827392578
140,300.5648956298828,136.93246459960938
141,300.7606475830078,136.6359748840332
142,298.74542541503905,136.8645896911621
143,298.6830169677734,136.28045272827148
144,301.85675354003905,136.27167129516602
145,298.5685577392578,136.0254669189453
146,299.2641967773437,135.46539306640625
147,297.7372314453125,135.6182861328125
148,297.1964447021484,135.38352584838867
149,296.63905639648436,135.83650588989258
150,295.3951690673828,136.16963577270508
151,296.86106872558594,135.8422393798828
152,296.3476196289063,135.6466941833496
153,294.71889038085936,135.48456954956055
154,295.9576171875,135.19265747070312
155,294.42164916992186,135.2015037536621
156,294.36866760253906,135.24065399169922
157,293.13056030273435,135.4039077758789
158,291.89007568359375,135.7651138305664
159,292.07854614257815,135.1993637084961
160,293.53981628417966,134.74996185302734
161,293.5878448486328,134.4871482849121
162,292.09107666015626,134.24296188354492
163,291.5235900878906,134.63117599487305
164,289.28484802246095,135.04634857177734
165,289.9933715820313,135.16146087646484
166,289.2695343017578,135.07121658325195
167,291.0260986328125,134.87403106689453
168,289.2247009277344,135.00836944580078
169,286.69508666992186,134.89530563354492
170,286.76709899902346,134.78070068359375
171,289.9194061279297,134.4694366455078
172,287.0210845947266,134.68569564819336
173,287.01575927734376,134.61267471313477
174,286.07281799316405,134.84584426879883
175,284.7075927734375,134.3340721130371
176,284.6221954345703,134.19857788085938
177,285.9270263671875,134.3458137512207
178,284.0622497558594,133.9009246826172
179,284.1845397949219,133.58892059326172
180,281.59503479003905,134.28296661376953
181,285.52076721191406,133.61371231079102
182,281.94175720214844,133.66070175170898
183,282.9918212890625,133.87494277954102
184,282.2899108886719,133.91025161743164
185,282.83306579589845,133.10073471069336
186,283.18506774902346,132.976806640625
187,280.0425750732422,133.15533828735352
188,281.3923278808594,133.2632713317871
189,280.2075561523437,133.14921951293945
190,279.72984924316404,133.09711074829102
191,277.27199401855466,132.93933486938477
192,278.17946166992186,132.67657089233398
193,278.8553466796875,132.3272247314453
194,280.843505859375,132.38898086547852
195,278.0722259521484,132.76108932495117
196,277.37364196777344,132.94093322753906
197,275.8453125,132.40993881225586
198,275.86277770996094,132.6302375793457
199,273.6122283935547,133.03034591674805
200,273.1307342529297,132.86817932128906
201,273.96795959472655,132.21583938598633
202,271.61602172851565,132.1314468383789
203,273.0544097900391,131.6757049560547
204,275.15631103515625,131.4591293334961
205,273.2724884033203,131.6964988708496
206,272.4726867675781,130.8609390258789
207,274.3968902587891,131.26346969604492
208,273.63653869628905,130.75996017456055
209,269.50208435058596,130.54225158691406
210,270.94122009277345,131.6197624206543
211,269.95368041992185,131.5686378479004
212,276.0802734375,131.05520248413086
213,268.1050567626953,130.80952835083008
214,269.1695587158203,130.47773361206055
215,269.2902465820313,129.7786865234375
216,268.82325439453126,129.8953971862793
217,269.3055725097656,129.20682525634766
218,266.09351806640626,129.49130249023438
219,265.32326049804686,129.93687057495117
220,265.1664794921875,129.6209259033203
221,265.78534240722655,129.96770477294922
222,266.2889343261719,130.23591995239258
223,262.7372253417969,130.25224685668945
224,266.3015441894531,129.73736572265625
225,263.70189514160154,129.6929588317871
226,263.42381286621094,129.54628372192383
227,266.5511505126953,129.37455368041992
228,261.22230224609376,129.82738876342773
229,260.09539794921875,130.0367088317871
230,261.2049957275391,129.5787811279297
231,257.69605407714846,129.82275390625
232,257.6606903076172,129.6097068786621
233,260.27015686035156,129.0608787536621
234,259.29200439453126,129.42583847045898
235,256.50681762695314,129.4139060974121
236,258.71361083984374,129.49803924560547
237,257.3137451171875,129.7633514404297
238,258.4442077636719,129.14293670654297
239,256.8859100341797,129.0211944580078
240,256.33274841308594,128.7110710144043
241,256.6317504882812,129.0464324951172
242,254.1379425048828,128.68222427368164
243,253.40758666992187,129.31320571899414
244,254.68309936523437,129.12191772460938
245,254.8083251953125,129.1356964111328
246,253.49134521484376,128.56768417358398
247,251.830419921875,128.72727966308594
248,251.38539428710936,129.1824493408203
249,252.98987426757813,128.23879623413086
250,250.59744262695312,127.82317733764648
251,250.74400634765624,127.44915008544922
252,252.5780487060547,127.71128463745117
253,251.08741455078126,127.78843307495117
254,247.37088928222656,128.1547737121582
255,248.8423065185547,127.54251098632812
256,247.00086669921876,127.56795120239258
257,246.7662384033203,127.38316345214844
258,246.82341613769532,127.4659538269043
259,246.76477661132813,126.91421890258789
260,244.74912109375,127.63688659667969
261,246.69398803710936,127.81101608276367
262,244.65809326171876,127.55475997924805
263,245.5728271484375,127.2017707824707
264,242.80531311035156,127.32311248779297
265,242.06691284179686,127.13436508178711
266,244.19722595214844,126.63234329223633
267,240.53854064941407,126.7349967956543
268,244.75045471191407,126.2533073425293
269,243.45144653320312,125.93887329101562
270,245.0933044433594,125.80289840698242
271,241.025732421875,126.03020477294922
272,244.5034606933594,125.9322738647461
273,245.92021484375,125.63983535766602
274,239.93955688476564,126.10290145874023
275,239.0665496826172,126.28712844848633
276,240.61256103515626,126.25102233886719
277,236.60696716308593,125.82131958007812
278,240.49911499023438,124.84237289428711
279,236.10811462402344,125.53834915161133
280,238.360107421875,125.65161514282227
281,239.08624572753905,125.43952560424805
282,236.6612060546875,125.68866729736328
283,236.9423095703125,125.7464370727539
284,240.97108764648436,125.76891326904297
285,232.19131164550782,125.32360458374023
286,233.31773071289064,125.80964660644531
287,233.98108825683593,126.4496078491211
288,232.15028686523436,126.42333602905273
289,237.31343688964844,126.0273666381836
290,232.0490692138672,125.31475067138672
291,233.07581481933593,125.36635971069336
